storeName,openingHours,storeType,products
WingMart,10:00 AM - 6:00 PM,Clothing boutique,"[""postcards"",""magazines"",""travel adapters"",""books"",""sunglasses""]"
SkyportShop,1:00 PM - 9:00 PM,Duty-free shop,"[""luggage tags"",""umbrellas"",""postcards"",""portable chargers"",""magazines""]"
HangarHut,10:30 AM - 6:30 PM,Electronics store,"[""travel pillows"",""snacks"",""umbrellas""]"
HangarHut,9:30 AM - 5:30 PM,Spa,"[""snacks"",""postcards"",""earphones""]"
HangarHut,12:00 PM - 8:00 PM,Fast food restaurant,"[""books"",""water bottles"",""hand sanitizers"",""travel pillows"",""luggage tags""]"
HangarHut,10:30 AM - 6:30 PM,Coffee shop,"[""postcards"",""umbrellas"",""travel-sized toiletries"",""snacks""]"
TarmacTreats,9:30 AM - 5:30 PM,Spa,"[""travel-sized toiletries"",""books"",""postcards""]"
PilotPickings,9:00 AM - 5:00 PM,Gift shop,"[""umbrellas"",""hand sanitizers"",""luggage tags""]"
TerminalTreats,8:00 AM - 4:00 PM,Coffee shop,"[""books"",""snacks"",""postcards"",""umbrellas""]"
SkyLounge,8:30 AM - 4:30 PM,Fast food restaurant,"[""umbrellas"",""travel pillows"",""portable chargers""]"
PilotPickings,10:00 AM - 6:00 PM,Duty-free shop,"[""snacks"",""books"",""travel pillows""]"
SkywaySundries,9:30 AM - 5:30 PM,Gift shop,"[""sunglasses"",""travel adapters"",""snacks"",""luggage tags""]"
RunwayRetail,9:30 AM - 5:30 PM,Clothing boutique,"[""travel adapters"",""sunglasses"",""travel-sized toiletries""]"
FlyByShop,11:00 AM - 7:00 PM,Electronics store,"[""magazines"",""travel guides"",""travel pillows"",""umbrellas""]"
AirsideBites,12:00 PM - 8:00 PM,Coffee shop,"[""umbrellas"",""travel-sized toiletries"",""water bottles"",""travel guides"",""travel pillows""]"
WingMart,8:30 AM - 4:30 PM,Bookstore,"[""travel adapters"",""travel pillows"",""travel-sized toiletries"",""portable chargers""]"
JetwayJunction,9:30 AM - 5:30 PM,Gift shop,"[""snacks"",""earphones"",""travel adapters""]"
RunwayRetail,10:30 AM - 6:30 PM,Bookstore,"[""water bottles"",""hand sanitizers"",""travel pillows"",""postcards"",""sunglasses"",""travel guides""]"
FlightFare,11:00 AM - 7:00 PM,Bookstore,"[""earphones"",""magazines"",""travel-sized toiletries""]"
CabinCafe,8:30 AM - 4:30 PM,Bookstore,"[""sunglasses"",""travel-sized toiletries"",""travel guides""]"
JetwayJunction,11:00 AM - 7:00 PM,Fast food restaurant,"[""umbrellas"",""portable chargers"",""books"",""water bottles""]"
SkyMart,8:30 AM - 4:30 PM,Gift shop,"[""travel pillows"",""portable chargers"",""luggage tags""]"
RunwaySnack,9:00 AM - 5:00 PM,Gift shop,"[""water bottles"",""books"",""snacks""]"
AirsideBites,1:00 PM - 9:00 PM,Clothing boutique,"[""travel adapters"",""earphones"",""umbrellas""]"
SkyLounge,8:30 AM - 4:30 PM,Coffee shop,"[""snacks"",""travel-sized toiletries"",""travel adapters""]"
TerminalTreats,1:00 PM - 9:00 PM,Clothing boutique,"[""portable chargers"",""water bottles"",""sunglasses""]"
CabinCafe,1:00 PM - 9:00 PM,Electronics store,"[""travel guides"",""travel-sized toiletries"",""hand sanitizers"",""travel pillows""]"
JetStop,7:00 AM - 3:00 PM,Coffee shop,"[""earphones"",""travel pillows"",""travel guides"",""sunglasses"",""travel-sized toiletries""]"
JetStop,9:00 AM - 5:00 PM,Fast food restaurant,"[""postcards"",""luggage tags"",""travel guides""]"
FlyByShop,7:00 AM - 3:00 PM,Duty-free shop,"[""sunglasses"",""travel adapters"",""travel guides"",""postcards""]"
PilotPickings,8:30 AM - 4:30 PM,Electronics store,"[""portable chargers"",""travel guides"",""water bottles"",""umbrellas""]"
TarmacTreats,9:30 AM - 5:30 PM,Spa,"[""books"",""luggage tags"",""postcards"",""travel pillows"",""snacks""]"
RunwaySnack,9:30 AM - 5:30 PM,Electronics store,"[""portable chargers"",""travel adapters"",""sunglasses"",""travel-sized toiletries"",""luggage tags"",""water bottles""]"
JetStop,7:00 AM - 3:00 PM,Spa,"[""magazines"",""books"",""snacks"",""umbrellas"",""travel guides"",""luggage tags""]"
AirfieldAisle,9:30 AM - 5:30 PM,Electronics store,"[""travel pillows"",""postcards"",""portable chargers"",""water bottles""]"
SkyLounge,12:00 PM - 8:00 PM,Fast food restaurant,"[""travel adapters"",""snacks"",""magazines"",""travel guides""]"
RunwaySnack,8:30 AM - 4:30 PM,Bookstore,"[""water bottles"",""hand sanitizers"",""books"",""travel guides"",""umbrellas""]"
RunwayRetail,10:00 AM - 6:00 PM,Duty-free shop,"[""travel pillows"",""umbrellas"",""postcards"",""earphones""]"
JetStop,11:00 AM - 7:00 PM,Coffee shop,"[""sunglasses"",""travel pillows"",""hand sanitizers"",""portable chargers"",""water bottles""]"
CloudCafe,10:00 AM - 6:00 PM,Spa,"[""umbrellas"",""postcards"",""travel adapters""]"
CloudCafe,1:00 PM - 9:00 PM,Spa,"[""travel pillows"",""earphones"",""hand sanitizers""]"
SkyLounge,12:00 PM - 8:00 PM,Coffee shop,"[""travel adapters"",""travel guides"",""postcards"",""water bottles"",""magazines"",""sunglasses""]"
AviationAvenue,10:30 AM - 6:30 PM,Duty-free shop,"[""umbrellas"",""travel pillows"",""sunglasses"",""luggage tags"",""water bottles"",""travel-sized toiletries""]"
AirsideBites,8:30 AM - 4:30 PM,Clothing boutique,"[""luggage tags"",""umbrellas"",""snacks"",""earphones"",""portable chargers""]"
PilotPickings,12:00 PM - 8:00 PM,Coffee shop,"[""postcards"",""earphones"",""books""]"
JetStop,7:00 AM - 3:00 PM,Coffee shop,"[""earphones"",""magazines"",""travel-sized toiletries"",""snacks""]"
AirfieldAisle,8:30 AM - 4:30 PM,Spa,"[""magazines"",""snacks"",""luggage tags"",""travel pillows""]"
JetwayJunction,9:00 AM - 5:00 PM,Electronics store,"[""luggage tags"",""portable chargers"",""travel adapters"",""umbrellas""]"
AirsideBites,10:30 AM - 6:30 PM,Clothing boutique,"[""books"",""luggage tags"",""portable chargers"",""travel adapters""]"
WingMart,11:00 AM - 7:00 PM,Spa,"[""books"",""magazines"",""postcards"",""earphones"",""hand sanitizers"",""water bottles""]"
SkyportShop,8:00 AM - 4:00 PM,Bookstore,"[""umbrellas"",""travel pillows"",""snacks"",""travel adapters"",""magazines""]"
JetStop,8:30 AM - 4:30 PM,Coffee shop,"[""travel-sized toiletries"",""travel adapters"",""hand sanitizers"",""travel guides"",""snacks"",""water bottles""]"
WingMart,8:00 AM - 4:00 PM,Gift shop,"[""umbrellas"",""sunglasses"",""snacks"",""hand sanitizers""]"
CabinCafe,9:30 AM - 5:30 PM,Electronics store,"[""travel guides"",""travel adapters"",""postcards""]"
CabinCafe,8:30 AM - 4:30 PM,Bookstore,"[""portable chargers"",""water bottles"",""snacks"",""travel-sized toiletries"",""travel guides""]"
TarmacTreats,1:00 PM - 9:00 PM,Gift shop,"[""travel pillows"",""earphones"",""magazines"",""snacks""]"
CockpitCorner,8:30 AM - 4:30 PM,Coffee shop,"[""umbrellas"",""magazines"",""luggage tags"",""snacks"",""water bottles"",""portable chargers""]"
PropellerPantry,12:00 PM - 8:00 PM,Fast food restaurant,"[""travel-sized toiletries"",""postcards"",""books"",""hand sanitizers""]"
GateGoods,7:00 AM - 3:00 PM,Gift shop,"[""travel pillows"",""sunglasses"",""magazines""]"
FlyByShop,9:30 AM - 5:30 PM,Gift shop,"[""earphones"",""snacks"",""travel-sized toiletries"",""umbrellas"",""hand sanitizers"",""water bottles""]"
AirfieldAisle,7:00 AM - 3:00 PM,Gift shop,"[""luggage tags"",""earphones"",""snacks"",""travel-sized toiletries"",""umbrellas"",""portable chargers""]"
TerminalTreats,1:00 PM - 9:00 PM,Bookstore,"[""books"",""umbrellas"",""sunglasses"",""travel adapters""]"
AviationAvenue,10:00 AM - 6:00 PM,Spa,"[""snacks"",""travel-sized toiletries"",""sunglasses""]"
AviationAvenue,10:30 AM - 6:30 PM,Duty-free shop,"[""umbrellas"",""hand sanitizers"",""magazines"",""travel-sized toiletries""]"
AirfieldAisle,10:00 AM - 6:00 PM,Clothing boutique,"[""snacks"",""travel guides"",""magazines"",""books"",""hand sanitizers""]"
HangarHut,10:30 AM - 6:30 PM,Duty-free shop,"[""water bottles"",""travel guides"",""portable chargers""]"
RunwayRetail,10:30 AM - 6:30 PM,Coffee shop,"[""magazines"",""postcards"",""snacks"",""books""]"
FlightFare,12:00 PM - 8:00 PM,Coffee shop,"[""travel adapters"",""books"",""postcards"",""travel guides"",""umbrellas"",""travel-sized toiletries""]"
RunwayRetail,12:00 PM - 8:00 PM,Coffee shop,"[""hand sanitizers"",""magazines"",""travel adapters"",""travel pillows"",""luggage tags"",""umbrellas""]"
AirsideBites,12:00 PM - 8:00 PM,Coffee shop,"[""earphones"",""sunglasses"",""travel guides"",""portable chargers"",""umbrellas"",""travel adapters""]"
SkywaySundries,9:30 AM - 5:30 PM,Electronics store,"[""portable chargers"",""sunglasses"",""snacks""]"
CloudCafe,11:00 AM - 7:00 PM,Bookstore,"[""luggage tags"",""travel pillows"",""postcards"",""snacks"",""travel guides""]"
SkyLounge,10:30 AM - 6:30 PM,Spa,"[""travel adapters"",""travel pillows"",""snacks"",""books"",""postcards""]"
FlightFare,12:00 PM - 8:00 PM,Coffee shop,"[""travel guides"",""magazines"",""portable chargers"",""sunglasses"",""umbrellas"",""travel adapters""]"
RunwayRetail,9:30 AM - 5:30 PM,Gift shop,"[""magazines"",""earphones"",""umbrellas"",""travel pillows"",""sunglasses"",""snacks""]"
AeroAlley,8:30 AM - 4:30 PM,Electronics store,"[""umbrellas"",""postcards"",""books"",""luggage tags"",""sunglasses"",""travel guides""]"
FlyByShop,7:00 AM - 3:00 PM,Bookstore,"[""travel pillows"",""sunglasses"",""water bottles"",""books"",""postcards""]"
JetStop,7:00 AM - 3:00 PM,Clothing boutique,"[""water bottles"",""travel guides"",""magazines""]"
PropellerPantry,9:00 AM - 5:00 PM,Bookstore,"[""hand sanitizers"",""books"",""water bottles"",""snacks"",""travel adapters"",""luggage tags""]"
FlightFare,8:30 AM - 4:30 PM,Clothing boutique,"[""hand sanitizers"",""books"",""travel guides"",""magazines"",""travel adapters""]"
JetStop,9:00 AM - 5:00 PM,Electronics store,"[""postcards"",""portable chargers"",""hand sanitizers"",""travel adapters""]"
SkyportShop,1:00 PM - 9:00 PM,Duty-free shop,"[""snacks"",""portable chargers"",""travel pillows"",""water bottles"",""travel-sized toiletries""]"
AirsideBites,9:00 AM - 5:00 PM,Bookstore,"[""sunglasses"",""portable chargers"",""water bottles"",""postcards""]"
AviationAvenue,12:00 PM - 8:00 PM,Electronics store,"[""sunglasses"",""luggage tags"",""travel pillows"",""travel adapters"",""books""]"
PropellerPantry,9:30 AM - 5:30 PM,Duty-free shop,"[""travel adapters"",""earphones"",""postcards"",""water bottles"",""travel-sized toiletries"",""travel guides""]"
RunwayRetail,10:00 AM - 6:00 PM,Spa,"[""books"",""sunglasses"",""travel-sized toiletries"",""travel pillows""]"
AirfieldAisle,11:00 AM - 7:00 PM,Fast food restaurant,"[""books"",""sunglasses"",""umbrellas""]"
SkyMart,9:30 AM - 5:30 PM,Gift shop,"[""sunglasses"",""luggage tags"",""snacks"",""travel pillows"",""hand sanitizers"",""water bottles""]"
TarmacTreats,10:30 AM - 6:30 PM,Clothing boutique,"[""travel guides"",""snacks"",""umbrellas"",""travel pillows"",""portable chargers"",""earphones""]"
CockpitCorner,10:00 AM - 6:00 PM,Clothing boutique,"[""travel pillows"",""travel-sized toiletries"",""travel adapters""]"
SkywaySundries,8:00 AM - 4:00 PM,Clothing boutique,"[""water bottles"",""postcards"",""travel adapters""]"
CockpitCorner,9:00 AM - 5:00 PM,Spa,"[""luggage tags"",""magazines"",""hand sanitizers""]"
FlyByShop,10:00 AM - 6:00 PM,Gift shop,"[""water bottles"",""umbrellas"",""magazines"",""travel guides"",""postcards"",""travel pillows""]"
RunwaySnack,1:00 PM - 9:00 PM,Gift shop,"[""hand sanitizers"",""water bottles"",""books"",""portable chargers""]"
PropellerPantry,8:30 AM - 4:30 PM,Clothing boutique,"[""travel guides"",""travel-sized toiletries"",""travel adapters"",""sunglasses"",""magazines"",""snacks""]"
AirfieldAisle,9:30 AM - 5:30 PM,Gift shop,"[""umbrellas"",""travel pillows"",""books""]"
SkywaySundries,8:30 AM - 4:30 PM,Spa,"[""umbrellas"",""travel adapters"",""travel pillows"",""hand sanitizers"",""travel guides""]"
AviationAvenue,9:30 AM - 5:30 PM,Spa,"[""travel pillows"",""water bottles"",""luggage tags"",""postcards"",""umbrellas"",""sunglasses""]"
HangarHut,8:30 AM - 4:30 PM,Gift shop,"[""travel guides"",""postcards"",""travel pillows"",""magazines"",""travel adapters"",""earphones""]"
FlightFare,8:30 AM - 4:30 PM,Spa,"[""water bottles"",""travel pillows"",""hand sanitizers"",""umbrellas""]"
GateGoods,10:00 AM - 6:00 PM,Clothing boutique,"[""earphones"",""travel guides"",""magazines""]"
PilotPickings,12:00 PM - 8:00 PM,Gift shop,"[""travel pillows"",""postcards"",""books"",""travel guides"",""luggage tags""]"
CloudCafe,9:00 AM - 5:00 PM,Gift shop,"[""hand sanitizers"",""luggage tags"",""earphones"",""travel pillows"",""portable chargers""]"
CockpitCorner,7:00 AM - 3:00 PM,Gift shop,"[""travel pillows"",""portable chargers"",""postcards"",""travel adapters"",""hand sanitizers""]"
AirfieldAisle,9:00 AM - 5:00 PM,Gift shop,"[""hand sanitizers"",""umbrellas"",""sunglasses"",""snacks"",""travel adapters""]"
SkyportShop,8:00 AM - 4:00 PM,Fast food restaurant,"[""umbrellas"",""books"",""hand sanitizers"",""travel pillows"",""luggage tags"",""travel guides""]"
AviatorAvenue,11:00 AM - 7:00 PM,Fast food restaurant,"[""travel guides"",""books"",""earphones""]"
WingMart,10:30 AM - 6:30 PM,Fast food restaurant,"[""travel pillows"",""earphones"",""sunglasses"",""postcards"",""travel guides""]"
SkyLounge,9:30 AM - 5:30 PM,Duty-free shop,"[""earphones"",""sunglasses"",""umbrellas"",""travel-sized toiletries""]"
FlyByShop,10:30 AM - 6:30 PM,Spa,"[""postcards"",""travel-sized toiletries"",""water bottles""]"
AviationAvenue,8:30 AM - 4:30 PM,Bookstore,"[""travel pillows"",""umbrellas"",""portable chargers""]"
GateGoods,8:00 AM - 4:00 PM,Electronics store,"[""earphones"",""travel-sized toiletries"",""umbrellas""]"
AviatorAvenue,8:00 AM - 4:00 PM,Coffee shop,"[""umbrellas"",""travel pillows"",""books"",""magazines""]"
SkyMart,8:30 AM - 4:30 PM,Coffee shop,"[""luggage tags"",""postcards"",""travel-sized toiletries""]"
GateGoods,7:00 AM - 3:00 PM,Duty-free shop,"[""portable chargers"",""magazines"",""postcards"",""earphones"",""books"",""umbrellas""]"
AviatorAvenue,11:00 AM - 7:00 PM,Electronics store,"[""hand sanitizers"",""sunglasses"",""postcards"",""umbrellas""]"
AviationAvenue,9:00 AM - 5:00 PM,Bookstore,"[""travel-sized toiletries"",""magazines"",""books"",""luggage tags"",""travel guides"",""earphones""]"
RunwayRetail,10:30 AM - 6:30 PM,Duty-free shop,"[""earphones"",""travel guides"",""water bottles"",""luggage tags"",""postcards"",""travel pillows""]"
TarmacTreats,9:30 AM - 5:30 PM,Fast food restaurant,"[""travel-sized toiletries"",""travel pillows"",""earphones"",""snacks"",""hand sanitizers"",""travel adapters""]"
WingMart,8:30 AM - 4:30 PM,Fast food restaurant,"[""hand sanitizers"",""umbrellas"",""travel adapters"",""sunglasses"",""earphones"",""books""]"
SkyMart,11:00 AM - 7:00 PM,Fast food restaurant,"[""snacks"",""travel pillows"",""books"",""travel adapters"",""hand sanitizers"",""luggage tags""]"
TarmacTreats,8:00 AM - 4:00 PM,Spa,"[""umbrellas"",""luggage tags"",""postcards"",""sunglasses"",""travel adapters""]"
SkyMart,1:00 PM - 9:00 PM,Spa,"[""earphones"",""postcards"",""water bottles""]"
SkyportShop,7:00 AM - 3:00 PM,Duty-free shop,"[""portable chargers"",""travel guides"",""travel-sized toiletries"",""earphones""]"
HangarHut,8:00 AM - 4:00 PM,Spa,"[""earphones"",""postcards"",""travel pillows""]"
JetwayJunction,11:00 AM - 7:00 PM,Electronics store,"[""umbrellas"",""travel pillows"",""water bottles""]"
AviatorAvenue,10:30 AM - 6:30 PM,Bookstore,"[""magazines"",""books"",""earphones"",""travel pillows""]"
PropellerPantry,12:00 PM - 8:00 PM,Electronics store,"[""water bottles"",""travel-sized toiletries"",""travel pillows"",""books""]"
PropellerPantry,9:00 AM - 5:00 PM,Spa,"[""earphones"",""books"",""travel pillows"",""portable chargers"",""hand sanitizers"",""travel guides""]"
AeroAlley,9:30 AM - 5:30 PM,Bookstore,"[""earphones"",""travel-sized toiletries"",""travel guides"",""portable chargers""]"
GateGoods,8:30 AM - 4:30 PM,Bookstore,"[""water bottles"",""sunglasses"",""luggage tags""]"
AviatorAvenue,8:00 AM - 4:00 PM,Gift shop,"[""umbrellas"",""travel guides"",""postcards"",""portable chargers""]"
PilotPickings,8:00 AM - 4:00 PM,Clothing boutique,"[""travel pillows"",""umbrellas"",""postcards"",""hand sanitizers"",""sunglasses""]"
JetwayJunction,7:00 AM - 3:00 PM,Coffee shop,"[""travel-sized toiletries"",""magazines"",""snacks"",""sunglasses""]"
RunwaySnack,8:00 AM - 4:00 PM,Coffee shop,"[""portable chargers"",""travel-sized toiletries"",""magazines"",""postcards"",""umbrellas"",""books""]"
AviationAvenue,9:30 AM - 5:30 PM,Spa,"[""travel guides"",""hand sanitizers"",""travel-sized toiletries""]"
CockpitCorner,10:00 AM - 6:00 PM,Spa,"[""postcards"",""earphones"",""travel-sized toiletries"",""water bottles""]"
WingMart,9:30 AM - 5:30 PM,Spa,"[""postcards"",""water bottles"",""portable chargers"",""books"",""travel guides"",""hand sanitizers""]"
GateGoods,8:00 AM - 4:00 PM,Fast food restaurant,"[""travel pillows"",""snacks"",""sunglasses"",""travel adapters"",""portable chargers"",""umbrellas""]"
SkyLounge,10:00 AM - 6:00 PM,Clothing boutique,"[""travel adapters"",""postcards"",""books"",""hand sanitizers""]"
AirfieldAisle,11:00 AM - 7:00 PM,Spa,"[""portable chargers"",""travel pillows"",""books"",""travel adapters"",""umbrellas"",""travel-sized toiletries""]"
TarmacTreats,8:00 AM - 4:00 PM,Bookstore,"[""sunglasses"",""travel guides"",""travel pillows""]"
AeroAlley,1:00 PM - 9:00 PM,Bookstore,"[""magazines"",""sunglasses"",""hand sanitizers"",""travel pillows"",""travel adapters""]"
PilotPickings,11:00 AM - 7:00 PM,Clothing boutique,"[""travel guides"",""travel adapters"",""portable chargers""]"
WingMart,8:30 AM - 4:30 PM,Clothing boutique,"[""earphones"",""snacks"",""travel pillows"",""books"",""postcards""]"
AviatorAvenue,11:00 AM - 7:00 PM,Bookstore,"[""travel guides"",""travel pillows"",""hand sanitizers""]"
PropellerPantry,1:00 PM - 9:00 PM,Electronics store,"[""magazines"",""hand sanitizers"",""sunglasses"",""earphones""]"
AviatorAvenue,9:00 AM - 5:00 PM,Clothing boutique,"[""travel-sized toiletries"",""earphones"",""travel adapters"",""luggage tags"",""sunglasses""]"
AeroAlley,8:30 AM - 4:30 PM,Gift shop,"[""earphones"",""travel-sized toiletries"",""travel guides"",""luggage tags""]"
FlyByShop,9:00 AM - 5:00 PM,Coffee shop,"[""travel-sized toiletries"",""travel guides"",""snacks""]"
GateGoods,9:30 AM - 5:30 PM,Electronics store,"[""umbrellas"",""sunglasses"",""travel guides"",""books""]"
TarmacTreats,8:00 AM - 4:00 PM,Gift shop,"[""travel guides"",""travel adapters"",""earphones"",""postcards""]"
FlyByShop,10:00 AM - 6:00 PM,Electronics store,"[""postcards"",""travel adapters"",""magazines"",""travel guides""]"
AeroAlley,9:00 AM - 5:00 PM,Coffee shop,"[""travel-sized toiletries"",""postcards"",""portable chargers""]"
CabinCafe,1:00 PM - 9:00 PM,Spa,"[""snacks"",""umbrellas"",""travel guides"",""postcards"",""earphones"",""travel pillows""]"
AirfieldAisle,8:30 AM - 4:30 PM,Electronics store,"[""travel guides"",""magazines"",""hand sanitizers"",""sunglasses"",""snacks""]"
AviatorAvenue,11:00 AM - 7:00 PM,Gift shop,"[""snacks"",""umbrellas"",""water bottles"",""hand sanitizers""]"
TarmacTreats,9:00 AM - 5:00 PM,Fast food restaurant,"[""sunglasses"",""travel adapters"",""magazines""]"
AviatorAvenue,10:00 AM - 6:00 PM,Clothing boutique,"[""earphones"",""postcards"",""hand sanitizers""]"
CabinCafe,12:00 PM - 8:00 PM,Clothing boutique,"[""umbrellas"",""hand sanitizers"",""books"",""travel guides"",""travel-sized toiletries"",""travel adapters""]"
AeroAlley,7:00 AM - 3:00 PM,Clothing boutique,"[""luggage tags"",""travel adapters"",""sunglasses"",""portable chargers"",""water bottles"",""umbrellas""]"
RunwaySnack,8:30 AM - 4:30 PM,Duty-free shop,"[""travel-sized toiletries"",""travel guides"",""snacks"",""hand sanitizers"",""earphones"",""travel pillows""]"
TarmacTreats,12:00 PM - 8:00 PM,Clothing boutique,"[""sunglasses"",""hand sanitizers"",""travel-sized toiletries""]"
JetStop,11:00 AM - 7:00 PM,Coffee shop,"[""postcards"",""portable chargers"",""hand sanitizers"",""luggage tags""]"
RunwayRetail,10:30 AM - 6:30 PM,Coffee shop,"[""earphones"",""umbrellas"",""luggage tags"",""travel pillows"",""water bottles"",""travel adapters""]"
PropellerPantry,10:30 AM - 6:30 PM,Fast food restaurant,"[""portable chargers"",""travel adapters"",""umbrellas"",""travel pillows""]"
JetStop,8:00 AM - 4:00 PM,Bookstore,"[""umbrellas"",""travel adapters"",""travel guides"",""earphones"",""portable chargers""]"
CabinCafe,11:00 AM - 7:00 PM,Electronics store,"[""umbrellas"",""travel pillows"",""travel-sized toiletries"",""travel guides"",""portable chargers"",""snacks""]"
CabinCafe,8:30 AM - 4:30 PM,Duty-free shop,"[""water bottles"",""travel adapters"",""travel guides"",""portable chargers"",""snacks""]"
HangarHut,8:30 AM - 4:30 PM,Gift shop,"[""postcards"",""portable chargers"",""earphones"",""sunglasses"",""books"",""umbrellas""]"
AirfieldAisle,12:00 PM - 8:00 PM,Duty-free shop,"[""sunglasses"",""water bottles"",""umbrellas"",""hand sanitizers"",""postcards"",""travel adapters""]"
SkyportShop,1:00 PM - 9:00 PM,Duty-free shop,"[""travel-sized toiletries"",""magazines"",""travel adapters"",""water bottles"",""travel guides"",""earphones""]"
TarmacTreats,8:00 AM - 4:00 PM,Fast food restaurant,"[""travel guides"",""travel-sized toiletries"",""sunglasses"",""hand sanitizers""]"
RunwaySnack,8:30 AM - 4:30 PM,Spa,"[""travel adapters"",""travel pillows"",""water bottles"",""books"",""luggage tags"",""sunglasses""]"
JetwayJunction,7:00 AM - 3:00 PM,Clothing boutique,"[""magazines"",""snacks"",""travel guides"",""travel pillows""]"
AirsideBites,8:00 AM - 4:00 PM,Fast food restaurant,"[""travel guides"",""umbrellas"",""books"",""travel pillows""]"
TerminalTreats,8:30 AM - 4:30 PM,Fast food restaurant,"[""luggage tags"",""snacks"",""umbrellas"",""portable chargers"",""earphones"",""books""]"
FlightFare,8:00 AM - 4:00 PM,Spa,"[""luggage tags"",""travel guides"",""postcards"",""travel pillows"",""hand sanitizers"",""sunglasses""]"
CloudCafe,8:00 AM - 4:00 PM,Bookstore,"[""travel adapters"",""hand sanitizers"",""water bottles""]"
RunwayRetail,9:00 AM - 5:00 PM,Spa,"[""snacks"",""water bottles"",""magazines"",""travel pillows"",""books""]"
SkyMart,1:00 PM - 9:00 PM,Clothing boutique,"[""travel adapters"",""travel pillows"",""portable chargers"",""travel guides"",""magazines""]"
SkywaySundries,9:00 AM - 5:00 PM,Clothing boutique,"[""luggage tags"",""postcards"",""magazines"",""travel-sized toiletries"",""snacks""]"
AviatorAvenue,1:00 PM - 9:00 PM,Spa,"[""travel adapters"",""postcards"",""travel pillows"",""water bottles"",""umbrellas""]"
SkywaySundries,7:00 AM - 3:00 PM,Fast food restaurant,"[""travel adapters"",""umbrellas"",""magazines"",""luggage tags""]"
RunwaySnack,10:30 AM - 6:30 PM,Electronics store,"[""umbrellas"",""portable chargers"",""travel adapters""]"
TarmacTreats,8:00 AM - 4:00 PM,Coffee shop,"[""earphones"",""travel pillows"",""hand sanitizers"",""portable chargers"",""snacks""]"
TerminalTreats,10:30 AM - 6:30 PM,Electronics store,"[""sunglasses"",""travel guides"",""travel pillows"",""travel-sized toiletries"",""earphones"",""books""]"
SkyportShop,12:00 PM - 8:00 PM,Fast food restaurant,"[""water bottles"",""travel guides"",""travel pillows"",""sunglasses"",""hand sanitizers""]"
GateGoods,10:30 AM - 6:30 PM,Coffee shop,"[""travel-sized toiletries"",""books"",""snacks""]"
FlyByShop,10:00 AM - 6:00 PM,Coffee shop,"[""umbrellas"",""magazines"",""snacks"",""hand sanitizers"",""postcards""]"
GateGoods,9:30 AM - 5:30 PM,Spa,"[""travel guides"",""sunglasses"",""postcards"",""travel pillows"",""magazines"",""water bottles""]"
AviatorAvenue,9:00 AM - 5:00 PM,Bookstore,"[""earphones"",""travel pillows"",""travel-sized toiletries"",""water bottles""]"
AviationAvenue,12:00 PM - 8:00 PM,Duty-free shop,"[""snacks"",""travel adapters"",""earphones"",""books"",""magazines"",""luggage tags""]"
SkyLounge,9:00 AM - 5:00 PM,Gift shop,"[""sunglasses"",""travel adapters"",""snacks"",""portable chargers""]"
FlyByShop,8:30 AM - 4:30 PM,Bookstore,"[""snacks"",""portable chargers"",""luggage tags"",""earphones""]"
TarmacTreats,7:00 AM - 3:00 PM,Coffee shop,"[""umbrellas"",""travel pillows"",""travel guides""]"
AeroAlley,10:00 AM - 6:00 PM,Clothing boutique,"[""travel-sized toiletries"",""snacks"",""travel adapters"",""postcards"",""hand sanitizers"",""water bottles""]"
AviatorAvenue,7:00 AM - 3:00 PM,Electronics store,"[""travel adapters"",""sunglasses"",""hand sanitizers"",""travel pillows""]"
WingMart,10:00 AM - 6:00 PM,Coffee shop,"[""snacks"",""travel pillows"",""umbrellas"",""books"",""travel guides"",""travel-sized toiletries""]"
AeroAlley,10:00 AM - 6:00 PM,Gift shop,"[""earphones"",""portable chargers"",""luggage tags"",""travel-sized toiletries"",""travel adapters"",""sunglasses""]"
RunwaySnack,10:00 AM - 6:00 PM,Bookstore,"[""books"",""travel pillows"",""portable chargers""]"
FlightFare,1:00 PM - 9:00 PM,Spa,"[""snacks"",""sunglasses"",""travel-sized toiletries"",""earphones"",""travel guides"",""luggage tags""]"
CockpitCorner,8:30 AM - 4:30 PM,Coffee shop,"[""travel pillows"",""water bottles"",""travel guides"",""sunglasses"",""magazines""]"
RunwayRetail,8:30 AM - 4:30 PM,Duty-free shop,"[""travel guides"",""travel adapters"",""travel pillows"",""books"",""umbrellas""]"
JetStop,10:00 AM - 6:00 PM,Clothing boutique,"[""magazines"",""umbrellas"",""earphones"",""travel pillows"",""water bottles""]"
SkyMart,9:30 AM - 5:30 PM,Fast food restaurant,"[""snacks"",""magazines"",""books"",""travel-sized toiletries""]"
CloudCafe,8:30 AM - 4:30 PM,Bookstore,"[""travel pillows"",""portable chargers"",""travel adapters""]"
RunwaySnack,9:00 AM - 5:00 PM,Coffee shop,"[""magazines"",""snacks"",""hand sanitizers""]"
RunwaySnack,12:00 PM - 8:00 PM,Clothing boutique,"[""travel pillows"",""luggage tags"",""water bottles""]"
PilotPickings,10:30 AM - 6:30 PM,Duty-free shop,"[""snacks"",""earphones"",""travel pillows"",""portable chargers"",""postcards"",""travel adapters""]"
JetStop,8:00 AM - 4:00 PM,Coffee shop,"[""travel guides"",""travel-sized toiletries"",""travel adapters"",""postcards"",""snacks""]"
